geografie,geslacht,migratieachtergrond,huishouden,bins,uitkomst,N,mean,parents_income,opleiding_ouders,type
Groningen,Total,Total,Total,0% - 10%,c00_infant_mortality,1962,1.223,22,Total,10
Groningen,Total,Total,Total,10% - 20%,c00_infant_mortality,1962,0.866,33,Total,10
Groningen,Total,Total,Total,20% - 30%,c00_infant_mortality,1962,1.121,45,Total,10
Groningen,Total,Total,Total,30% - 40%,c00_infant_mortality,1960,0.612,58,Total,10
Groningen,Total,Total,Total,40% - 50%,c00_infant_mortality,1960,0.561,69,Total,10
Groningen,Total,Total,Total,50% - 60%,c00_infant_mortality,1960,0.867,79,Total,10
Groningen,Total,Total,Total,60% - 70%,c00_infant_mortality,1960,0.663,91,Total,10
Groningen,Total,Total,Total,70% - 80%,c00_infant_mortality,1960,0.663,105,Total,10
Groningen,Total,Total,Total,80% - 90%,c00_infant_mortality,1960,0.612,125,Total,10
Groningen,Total,Total,Total,90% - 100%,c00_infant_mortality,1960,0.714,185,Total,10
Utrecht,Total,Total,Total,0% - 10%,c00_infant_mortality,4218,0.853,26,Total,10
Utrecht,Total,Total,Total,10% - 20%,c00_infant_mortality,4218,0.545,44,Total,10
Utrecht,Total,Total,Total,20% - 30%,c00_infant_mortality,4218,0.64,60,Total,10
Utrecht,Total,Total,Total,30% - 40%,c00_infant_mortality,4218,0.664,74,Total,10
Utrecht,Total,Total,Total,40% - 50%,c00_infant_mortality,4217,0.569,87,Total,10
Utrecht,Total,Total,Total,50% - 60%,c00_infant_mortality,4216,0.569,100,Total,10
Utrecht,Total,Total,Total,60% - 70%,c00_infant_mortality,4216,0.83,114,Total,10
Utrecht,Total,Total,Total,70% - 80%,c00_infant_mortality,4216,0.569,131,Total,10
Utrecht,Total,Total,Total,80% - 90%,c00_infant_mortality,4216,0.474,154,Total,10
Utrecht,Total,Total,Total,90% - 100%,c00_infant_mortality,4216,0.403,222,Total,10
Utrecht,Total,Total,Two Parents,0% - 10%,c00_infant_mortality,3896,0.796,30,Total,10
Utrecht,Total,Total,Two Parents,10% - 20%,c00_infant_mortality,3896,0.616,50,Total,10
Utrecht,Total,Total,Two Parents,20% - 30%,c00_infant_mortality,3895,0.59,65,Total,10
Utrecht,Total,Total,Two Parents,30% - 40%,c00_infant_mortality,3894,0.668,78,Total,10
Utrecht,Total,Total,Two Parents,40% - 50%,c00_infant_mortality,3894,0.591,91,Total,10
Utrecht,Total,Total,Two Parents,50% - 60%,c00_infant_mortality,3894,0.616,104,Total,10
Utrecht,Total,Total,Two Parents,60% - 70%,c00_infant_mortality,3894,0.745,117,Total,10
Utrecht,Total,Total,Two Parents,70% - 80%,c00_infant_mortality,3894,0.591,134,Total,10
Utrecht,Total,Total,Two Parents,80% - 90%,c00_infant_mortality,3894,0.462,157,Total,10
Utrecht,Total,Total,Two Parents,90% - 100%,c00_infant_mortality,3894,0.411,225,Total,10
Amsterdam,Total,Total,Total,0% - 10%,c00_infant_mortality,9326,1.147,21,Total,10
Amsterdam,Total,Total,Total,10% - 20%,c00_infant_mortality,9325,1.19,32,Total,10
Amsterdam,Total,Total,Total,20% - 30%,c00_infant_mortality,9324,0.826,43,Total,10
Amsterdam,Total,Total,Total,30% - 40%,c00_infant_mortality,9324,0.794,55,Total,10
Amsterdam,Total,Total,Total,40% - 50%,c00_infant_mortality,9324,0.869,68,Total,10
Amsterdam,Total,Total,Total,50% - 60%,c00_infant_mortality,9324,0.697,82,Total,10
Amsterdam,Total,Total,Total,60% - 70%,c00_infant_mortality,9324,0.579,99,Total,10
Amsterdam,Total,Total,Total,70% - 80%,c00_infant_mortality,9324,0.515,120,Total,10
Amsterdam,Total,Total,Total,80% - 90%,c00_infant_mortality,9324,0.472,151,Total,10
Amsterdam,Total,Total,Total,90% - 100%,c00_infant_mortality,9324,0.493,265,Total,10
Amsterdam,Total,Total,Two Parents,0% - 10%,c00_infant_mortality,7606,1.302,25,Total,10
Amsterdam,Total,Total,Two Parents,10% - 20%,c00_infant_mortality,7605,0.736,39,Total,10
Amsterdam,Total,Total,Two Parents,20% - 30%,c00_infant_mortality,7604,0.763,52,Total,10
Amsterdam,Total,Total,Two Parents,30% - 40%,c00_infant_mortality,7604,0.855,64,Total,10
Amsterdam,Total,Total,Two Parents,40% - 50%,c00_infant_mortality,7604,0.71,78,Total,10
Amsterdam,Total,Total,Two Parents,50% - 60%,c00_infant_mortality,7604,0.513,92,Total,10
Amsterdam,Total,Total,Two Parents,60% - 70%,c00_infant_mortality,7604,0.592,109,Total,10
Amsterdam,Total,Total,Two Parents,70% - 80%,c00_infant_mortality,7604,0.408,130,Total,10
Amsterdam,Total,Total,Two Parents,80% - 90%,c00_infant_mortality,7604,0.473,161,Total,10
Amsterdam,Total,Total,Two Parents,90% - 100%,c00_infant_mortality,7604,0.487,279,Total,10
Amsterdam,Total,No Migration Background,Total,0% - 10%,c00_infant_mortality,3400,0.765,30,Total,10
Amsterdam,Total,No Migration Background,Total,10% - 20%,c00_infant_mortality,3400,0.882,53,Total,10
Amsterdam,Total,No Migration Background,Total,20% - 30%,c00_infant_mortality,3398,0.765,69,Total,10
Amsterdam,Total,No Migration Background,Total,30% - 40%,c00_infant_mortality,3398,0.53,84,Total,10
Amsterdam,Total,No Migration Background,Total,40% - 50%,c00_infant_mortality,3398,0.471,98,Total,10
Amsterdam,Total,No Migration Background,Total,50% - 60%,c00_infant_mortality,3398,0.383,113,Total,10
Amsterdam,Total,No Migration Background,Total,60% - 70%,c00_infant_mortality,3398,0.53,129,Total,10
Amsterdam,Total,No Migration Background,Total,70% - 80%,c00_infant_mortality,3398,0.5,150,Total,10
Amsterdam,Total,No Migration Background,Total,80% - 90%,c00_infant_mortality,3398,0.618,184,Total,10
Amsterdam,Total,No Migration Background,Total,90% - 100%,c00_infant_mortality,3398,0.53,313,Total,10
Amsterdam,Total,No Migration Background,Two Parents,0% - 10%,c00_infant_mortality,2968,0.539,38,Total,10
Amsterdam,Total,No Migration Background,Two Parents,10% - 20%,c00_infant_mortality,2968,0.64,62,Total,10
Amsterdam,Total,No Migration Background,Two Parents,20% - 30%,c00_infant_mortality,2968,0.775,78,Total,10
Amsterdam,Total,No Migration Background,Two Parents,30% - 40%,c00_infant_mortality,2968,0.371,92,Total,10
Amsterdam,Total,No Migration Background,Two Parents,40% - 50%,c00_infant_mortality,2968,0.472,105,Total,10
Amsterdam,Total,No Migration Background,Two Parents,50% - 60%,c00_infant_mortality,2968,0.438,119,Total,10
Amsterdam,Total,No Migration Background,Two Parents,60% - 70%,c00_infant_mortality,2968,0.505,135,Total,10
Amsterdam,Total,No Migration Background,Two Parents,70% - 80%,c00_infant_mortality,2966,0.472,157,Total,10
Amsterdam,Total,No Migration Background,Two Parents,80% - 90%,c00_infant_mortality,2966,0.607,190,Total,10
Amsterdam,Total,No Migration Background,Two Parents,90% - 100%,c00_infant_mortality,2966,0.506,320,Total,10
Amsterdam,Total,Morocco,Total,0% - 10%,c00_infant_mortality,1286,1.089,22,Total,10
Amsterdam,Total,Morocco,Total,10% - 20%,c00_infant_mortality,1286,1.4,30,Total,10
Amsterdam,Total,Morocco,Total,20% - 30%,c00_infant_mortality,1286,1.089,35,Total,10
Amsterdam,Total,Morocco,Total,30% - 40%,c00_infant_mortality,1286,1.089,41,Total,10
Amsterdam,Total,Morocco,Total,40% - 50%,c00_infant_mortality,1286,0.778,49,Total,10
Amsterdam,Total,Morocco,Total,50% - 60%,c00_infant_mortality,1286,1.166,57,Total,10
Amsterdam,Total,Morocco,Total,60% - 70%,c00_infant_mortality,1286,0.933,65,Total,10
Amsterdam,Total,Morocco,Total,70% - 80%,c00_infant_mortality,1286,1.011,76,Total,10
Amsterdam,Total,Morocco,Total,80% - 90%,c00_infant_mortality,1284,0.857,90,Total,10
Amsterdam,Total,Morocco,Total,90% - 100%,c00_infant_mortality,1284,1.09,128,Total,10
Amsterdam,Total,With Migration Background,Total,0% - 10%,c00_infant_mortality,5926,1.417,19,Total,10
Amsterdam,Total,With Migration Background,Total,10% - 20%,c00_infant_mortality,5926,1.299,29,Total,10
Amsterdam,Total,With Migration Background,Total,20% - 30%,c00_infant_mortality,5926,0.861,35,Total,10
Amsterdam,Total,With Migration Background,Total,30% - 40%,c00_infant_mortality,5926,0.81,44,Total,10
Amsterdam,Total,With Migration Background,Total,40% - 50%,c00_infant_mortality,5926,0.877,54,Total,10
Amsterdam,Total,With Migration Background,Total,50% - 60%,c00_infant_mortality,5926,0.894,65,Total,10
Amsterdam,Total,With Migration Background,Total,60% - 70%,c00_infant_mortality,5926,0.742,78,Total,10
Amsterdam,Total,With Migration Background,Total,70% - 80%,c00_infant_mortality,5926,0.641,96,Total,10
Amsterdam,Total,With Migration Background,Total,80% - 90%,c00_infant_mortality,5926,0.557,124,Total,10
Amsterdam,Total,With Migration Background,Total,90% - 100%,c00_infant_mortality,5925,0.405,226,Total,10
Amsterdam,Total,With Migration Background,Two Parents,0% - 10%,c00_infant_mortality,4638,1.574,22,Total,10
Amsterdam,Total,With Migration Background,Two Parents,10% - 20%,c00_infant_mortality,4638,0.841,33,Total,10
Amsterdam,Total,With Migration Background,Two Parents,20% - 30%,c00_infant_mortality,4638,0.819,42,Total,10
Amsterdam,Total,With Migration Background,Two Parents,30% - 40%,c00_infant_mortality,4638,0.841,52,Total,10
Amsterdam,Total,With Migration Background,Two Parents,40% - 50%,c00_infant_mortality,4637,0.927,62,Total,10
Amsterdam,Total,With Migration Background,Two Parents,50% - 60%,c00_infant_mortality,4636,0.777,74,Total,10
Amsterdam,Total,With Migration Background,Two Parents,60% - 70%,c00_infant_mortality,4636,0.582,88,Total,10
Amsterdam,Total,With Migration Background,Two Parents,70% - 80%,c00_infant_mortality,4636,0.712,106,Total,10
Amsterdam,Total,With Migration Background,Two Parents,80% - 90%,c00_infant_mortality,4636,0.41,135,Total,10
Amsterdam,Total,With Migration Background,Two Parents,90% - 100%,c00_infant_mortality,4636,0.324,242,Total,10
Amsterdam,Men,Total,Total,0% - 10%,c00_infant_mortality,4794,1.231,21,Total,10
Amsterdam,Men,Total,Total,10% - 20%,c00_infant_mortality,4794,1.252,32,Total,10
Amsterdam,Men,Total,Total,20% - 30%,c00_infant_mortality,4794,0.814,43,Total,10
Amsterdam,Men,Total,Total,30% - 40%,c00_infant_mortality,4794,0.709,55,Total,10
Amsterdam,Men,Total,Total,40% - 50%,c00_infant_mortality,4794,0.772,68,Total,10
Amsterdam,Men,Total,Total,50% - 60%,c00_infant_mortality,4794,0.772,82,Total,10
Amsterdam,Men,Total,Total,60% - 70%,c00_infant_mortality,4794,0.626,99,Total,10
Amsterdam,Men,Total,Total,70% - 80%,c00_infant_mortality,4793,0.522,120,Total,10
Amsterdam,Men,Total,Total,80% - 90%,c00_infant_mortality,4792,0.501,151,Total,10
Amsterdam,Men,Total,Total,90% - 100%,c00_infant_mortality,4792,0.501,269,Total,10
Amsterdam,Men,Total,Two Parents,0% - 10%,c00_infant_mortality,3912,1.355,25,Total,10
Amsterdam,Men,Total,Two Parents,10% - 20%,c00_infant_mortality,3912,0.895,39,Total,10
Amsterdam,Men,Total,Two Parents,20% - 30%,c00_infant_mortality,3912,0.639,52,Total,10
Amsterdam,Men,Total,Two Parents,30% - 40%,c00_infant_mortality,3912,0.792,64,Total,10
Amsterdam,Men,Total,Two Parents,40% - 50%,c00_infant_mortality,3912,0.869,77,Total,10
Amsterdam,Men,Total,Two Parents,50% - 60%,c00_infant_mortality,3912,0.511,92,Total,10
Amsterdam,Men,Total,Two Parents,60% - 70%,c00_infant_mortality,3911,0.435,108,Total,10
Amsterdam,Men,Total,Two Parents,70% - 80%,c00_infant_mortality,3910,0.486,129,Total,10
Amsterdam,Men,Total,Two Parents,80% - 90%,c00_infant_mortality,3910,0.512,161,Total,10
Amsterdam,Men,Total,Two Parents,90% - 100%,c00_infant_mortality,3910,0.46,284,Total,10
Amsterdam,Men,With Migration Background,Total,0% - 10%,c00_infant_mortality,3046,1.51,19,Total,10
Amsterdam,Men,With Migration Background,Total,10% - 20%,c00_infant_mortality,3046,1.28,29,Total,10
Amsterdam,Men,With Migration Background,Total,20% - 30%,c00_infant_mortality,3046,0.886,35,Total,10
Amsterdam,Men,With Migration Background,Total,30% - 40%,c00_infant_mortality,3046,0.788,44,Total,10
Amsterdam,Men,With Migration Background,Total,40% - 50%,c00_infant_mortality,3046,0.821,54,Total,10
Amsterdam,Men,With Migration Background,Total,50% - 60%,c00_infant_mortality,3044,0.624,65,Total,10
Amsterdam,Men,With Migration Background,Total,60% - 70%,c00_infant_mortality,3044,0.92,78,Total,10
Amsterdam,Men,With Migration Background,Total,70% - 80%,c00_infant_mortality,3044,0.657,96,Total,10
Amsterdam,Men,With Migration Background,Total,80% - 90%,c00_infant_mortality,3044,0.624,124,Total,10
Amsterdam,Men,With Migration Background,Total,90% - 100%,c00_infant_mortality,3044,0.394,229,Total,10
Amsterdam,Women,Total,Total,0% - 10%,c00_infant_mortality,4532,1.037,21,Total,10
Amsterdam,Women,Total,Total,10% - 20%,c00_infant_mortality,4532,1.169,32,Total,10
Amsterdam,Women,Total,Total,20% - 30%,c00_infant_mortality,4532,0.772,43,Total,10
Amsterdam,Women,Total,Total,30% - 40%,c00_infant_mortality,4532,0.927,55,Total,10
Amsterdam,Women,Total,Total,40% - 50%,c00_infant_mortality,4530,0.971,68,Total,10
Amsterdam,Women,Total,Total,50% - 60%,c00_infant_mortality,4530,0.618,82,Total,10
Amsterdam,Women,Total,Total,60% - 70%,c00_infant_mortality,4530,0.53,99,Total,10
Amsterdam,Women,Total,Total,70% - 80%,c00_infant_mortality,4530,0.508,120,Total,10
Amsterdam,Women,Total,Total,80% - 90%,c00_infant_mortality,4530,0.442,151,Total,10
Amsterdam,Women,Total,Total,90% - 100%,c00_infant_mortality,4530,0.486,261,Total,10
Amsterdam,Women,Total,Two Parents,0% - 10%,c00_infant_mortality,3694,1.218,25,Total,10
Amsterdam,Women,Total,Two Parents,10% - 20%,c00_infant_mortality,3694,0.596,39,Total,10
Amsterdam,Women,Total,Two Parents,20% - 30%,c00_infant_mortality,3694,0.893,52,Total,10
Amsterdam,Women,Total,Two Parents,30% - 40%,c00_infant_mortality,3694,0.893,65,Total,10
Amsterdam,Women,Total,Two Parents,40% - 50%,c00_infant_mortality,3694,0.596,78,Total,10
Amsterdam,Women,Total,Two Parents,50% - 60%,c00_infant_mortality,3692,0.515,93,Total,10
Amsterdam,Women,Total,Two Parents,60% - 70%,c00_infant_mortality,3692,0.704,109,Total,10
Amsterdam,Women,Total,Two Parents,70% - 80%,c00_infant_mortality,3692,0.325,130,Total,10
Amsterdam,Women,Total,Two Parents,80% - 90%,c00_infant_mortality,3692,0.46,162,Total,10
Amsterdam,Women,Total,Two Parents,90% - 100%,c00_infant_mortality,3692,0.515,275,Total,10
Amsterdam,Women,With Migration Background,Total,0% - 10%,c00_infant_mortality,2882,1.284,19,Total,10
Amsterdam,Women,With Migration Background,Total,10% - 20%,c00_infant_mortality,2882,1.353,29,Total,10
Amsterdam,Women,With Migration Background,Total,20% - 30%,c00_infant_mortality,2882,0.833,35,Total,10
Amsterdam,Women,With Migration Background,Total,30% - 40%,c00_infant_mortality,2882,0.798,44,Total,10
Amsterdam,Women,With Migration Background,Total,40% - 50%,c00_infant_mortality,2881,1.007,54,Total,10
Amsterdam,Women,With Migration Background,Total,50% - 60%,c00_infant_mortality,2880,1.146,65,Total,10
Amsterdam,Women,With Migration Background,Total,60% - 70%,c00_infant_mortality,2880,0.556,78,Total,10
Amsterdam,Women,With Migration Background,Total,70% - 80%,c00_infant_mortality,2880,0.625,96,Total,10
Amsterdam,Women,With Migration Background,Total,80% - 90%,c00_infant_mortality,2880,0.486,124,Total,10
Amsterdam,Women,With Migration Background,Total,90% - 100%,c00_infant_mortality,2880,0.417,222,Total,10
's-Gravenhage,Total,Total,Total,0% - 10%,c00_infant_mortality,5517,0.634,19,Total,10
's-Gravenhage,Total,Total,Total,10% - 20%,c00_infant_mortality,5516,1.015,30,Total,10
's-Gravenhage,Total,Total,Total,20% - 30%,c00_infant_mortality,5516,0.906,38,Total,10
's-Gravenhage,Total,Total,Total,30% - 40%,c00_infant_mortality,5516,0.78,48,Total,10
's-Gravenhage,Total,Total,Total,40% - 50%,c00_infant_mortality,5516,0.707,59,Total,10
's-Gravenhage,Total,Total,Total,50% - 60%,c00_infant_mortality,5516,0.544,71,Total,10
's-Gravenhage,Total,Total,Total,60% - 70%,c00_infant_mortality,5516,0.544,85,Total,10
's-Gravenhage,Total,Total,Total,70% - 80%,c00_infant_mortality,5516,0.58,103,Total,10
's-Gravenhage,Total,Total,Total,80% - 90%,c00_infant_mortality,5516,0.381,130,Total,10
's-Gravenhage,Total,Total,Total,90% - 100%,c00_infant_mortality,5516,0.308,213,Total,10
's-Gravenhage,Total,Total,Two Parents,0% - 10%,c00_infant_mortality,4656,0.73,22,Total,10
's-Gravenhage,Total,Total,Two Parents,10% - 20%,c00_infant_mortality,4656,0.838,34,Total,10
's-Gravenhage,Total,Total,Two Parents,20% - 30%,c00_infant_mortality,4656,0.773,44,Total,10
's-Gravenhage,Total,Total,Two Parents,30% - 40%,c00_infant_mortality,4656,0.881,55,Total,10
's-Gravenhage,Total,Total,Two Parents,40% - 50%,c00_infant_mortality,4656,0.558,67,Total,10
's-Gravenhage,Total,Total,Two Parents,50% - 60%,c00_infant_mortality,4656,0.43,79,Total,10
's-Gravenhage,Total,Total,Two Parents,60% - 70%,c00_infant_mortality,4655,0.687,93,Total,10
's-Gravenhage,Total,Total,Two Parents,70% - 80%,c00_infant_mortality,4654,0.387,111,Total,10
's-Gravenhage,Total,Total,Two Parents,80% - 90%,c00_infant_mortality,4654,0.387,137,Total,10
's-Gravenhage,Total,Total,Two Parents,90% - 100%,c00_infant_mortality,4654,0.344,222,Total,10
's-Gravenhage,Total,With Migration Background,Total,0% - 10%,c00_infant_mortality,3586,0.586,17,Total,10
