geografie,geslacht,migratieachtergrond,huishouden,bins,uitkomst,N,mean,parents_income,opleiding_ouders,type
Groningen,Total,Total,Total,0% - 5%,c00_preterm_birth,974,6.674,18,Total,20
Groningen,Total,Total,Total,5% - 10%,c00_preterm_birth,974,7.906,26,Total,20
Groningen,Total,Total,Total,10% - 15%,c00_preterm_birth,974,7.084,30,Total,20
Groningen,Total,Total,Total,15% - 20%,c00_preterm_birth,974,7.495,36,Total,20
Groningen,Total,Total,Total,20% - 25%,c00_preterm_birth,974,7.29,42,Total,20
Groningen,Total,Total,Total,25% - 30%,c00_preterm_birth,974,6.571,49,Total,20
Groningen,Total,Total,Total,30% - 35%,c00_preterm_birth,974,6.674,55,Total,20
Groningen,Total,Total,Total,35% - 40%,c00_preterm_birth,974,6.571,60,Total,20
Groningen,Total,Total,Total,40% - 45%,c00_preterm_birth,974,7.084,66,Total,20
Groningen,Total,Total,Total,45% - 50%,c00_preterm_birth,974,5.133,71,Total,20
Groningen,Total,Total,Total,50% - 55%,c00_preterm_birth,974,5.852,76,Total,20
Groningen,Total,Total,Total,55% - 60%,c00_preterm_birth,974,7.906,82,Total,20
Groningen,Total,Total,Total,60% - 65%,c00_preterm_birth,974,5.544,88,Total,20
Groningen,Total,Total,Total,65% - 70%,c00_preterm_birth,974,6.776,94,Total,20
Groningen,Total,Total,Total,70% - 75%,c00_preterm_birth,974,5.852,101,Total,20
Groningen,Total,Total,Total,75% - 80%,c00_preterm_birth,974,7.495,109,Total,20
Groningen,Total,Total,Total,80% - 85%,c00_preterm_birth,974,6.263,119,Total,20
Groningen,Total,Total,Total,85% - 90%,c00_preterm_birth,974,6.16,131,Total,20
Groningen,Total,Total,Total,90% - 95%,c00_preterm_birth,974,6.468,149,Total,20
Groningen,Total,Total,Total,95% - 100%,c00_preterm_birth,973,5.344,221,Total,20
Groningen,Total,Total,Two Parents,0% - 5%,c00_preterm_birth,853,6.682,21,Total,20
Groningen,Total,Total,Two Parents,5% - 10%,c00_preterm_birth,853,6.8,31,Total,20
Groningen,Total,Total,Two Parents,10% - 15%,c00_preterm_birth,852,9.155,38,Total,20
Groningen,Total,Total,Two Parents,15% - 20%,c00_preterm_birth,852,6.69,45,Total,20
Groningen,Total,Total,Two Parents,20% - 25%,c00_preterm_birth,852,5.399,51,Total,20
Groningen,Total,Total,Two Parents,25% - 30%,c00_preterm_birth,852,7.16,57,Total,20
Groningen,Total,Total,Two Parents,30% - 35%,c00_preterm_birth,852,5.047,62,Total,20
Groningen,Total,Total,Two Parents,35% - 40%,c00_preterm_birth,852,6.455,67,Total,20
Groningen,Total,Total,Two Parents,40% - 45%,c00_preterm_birth,852,5.399,72,Total,20
Groningen,Total,Total,Two Parents,45% - 50%,c00_preterm_birth,852,5.634,77,Total,20
Groningen,Total,Total,Two Parents,50% - 55%,c00_preterm_birth,852,7.746,83,Total,20
Groningen,Total,Total,Two Parents,55% - 60%,c00_preterm_birth,852,6.103,88,Total,20
Groningen,Total,Total,Two Parents,60% - 65%,c00_preterm_birth,852,5.751,93,Total,20
Groningen,Total,Total,Two Parents,65% - 70%,c00_preterm_birth,852,5.399,99,Total,20
Groningen,Total,Total,Two Parents,70% - 75%,c00_preterm_birth,852,7.981,106,Total,20
Groningen,Total,Total,Two Parents,75% - 80%,c00_preterm_birth,852,6.338,114,Total,20
Groningen,Total,Total,Two Parents,80% - 85%,c00_preterm_birth,852,7.16,123,Total,20
Groningen,Total,Total,Two Parents,85% - 90%,c00_preterm_birth,852,4.812,135,Total,20
Groningen,Total,Total,Two Parents,90% - 95%,c00_preterm_birth,852,6.808,154,Total,20
Groningen,Total,Total,Two Parents,95% - 100%,c00_preterm_birth,852,5.516,227,Total,20
Groningen,Total,No Migration Background,Total,0% - 5%,c00_preterm_birth,629,7.79,21,Total,20
Groningen,Total,No Migration Background,Total,5% - 10%,c00_preterm_birth,629,6.836,31,Total,20
Groningen,Total,No Migration Background,Total,10% - 15%,c00_preterm_birth,629,9.857,39,Total,20
Groningen,Total,No Migration Background,Total,15% - 20%,c00_preterm_birth,629,6.359,47,Total,20
Groningen,Total,No Migration Background,Total,20% - 25%,c00_preterm_birth,629,7.313,54,Total,20
Groningen,Total,No Migration Background,Total,25% - 30%,c00_preterm_birth,629,6.359,59,Total,20
Groningen,Total,No Migration Background,Total,30% - 35%,c00_preterm_birth,629,5.246,65,Total,20
Groningen,Total,No Migration Background,Total,35% - 40%,c00_preterm_birth,629,6.2,70,Total,20
Groningen,Total,No Migration Background,Total,40% - 45%,c00_preterm_birth,629,4.293,74,Total,20
