geografie,geslacht,migratieachtergrond,huishouden,bins,uitkomst,N,mean,parents_income,opleiding_ouders,type
Groningen,Total,Total,Total,Total,c00_infant_mortality,19606,0.791,81,Total,1
Groningen,Total,Total,Single Parent,Total,c00_infant_mortality,2402,0.791,40,Total,1
Groningen,Total,Total,Two Parents,Total,c00_infant_mortality,17152,0.764,87,Total,1
Groningen,Total,No Migration Background,Total,Total,c00_infant_mortality,13831,0.781,87,Total,1
Groningen,Total,No Migration Background,Two Parents,Total,c00_infant_mortality,12671,0.789,91,Total,1
Groningen,Total,With Migration Background,Total,Total,c00_infant_mortality,5775,0.814,66,Total,1
Groningen,Total,With Migration Background,Single Parent,Total,c00_infant_mortality,1269,1.024,35,Total,1
Groningen,Total,With Migration Background,Two Parents,Total,c00_infant_mortality,4481,0.692,75,Total,1
Groningen,Men,Total,Total,Total,c00_infant_mortality,9990,0.801,81,Total,1
Groningen,Men,Total,Single Parent,Total,c00_infant_mortality,1253,0.798,39,Total,1
Groningen,Men,Total,Two Parents,Total,c00_infant_mortality,8706,0.747,88,Total,1
Groningen,Men,No Migration Background,Total,Total,c00_infant_mortality,7077,0.777,88,Total,1
Groningen,Men,No Migration Background,Two Parents,Total,c00_infant_mortality,6461,0.789,92,Total,1
Groningen,Men,With Migration Background,Total,Total,c00_infant_mortality,2913,0.858,66,Total,1
Groningen,Men,With Migration Background,Two Parents,Total,c00_infant_mortality,2245,0.624,76,Total,1
Groningen,Women,Total,Total,Total,c00_infant_mortality,9616,0.78,81,Total,1
Groningen,Women,Total,Two Parents,Total,c00_infant_mortality,8446,0.781,87,Total,1
Groningen,Women,No Migration Background,Total,Total,c00_infant_mortality,6754,0.785,87,Total,1
Groningen,Women,No Migration Background,Two Parents,Total,c00_infant_mortality,6210,0.789,91,Total,1
Groningen,Women,With Migration Background,Total,Total,c00_infant_mortality,2862,0.769,66,Total,1
Groningen,Women,With Migration Background,Two Parents,Total,c00_infant_mortality,2236,0.76,74,Total,1
Almere,Total,Total,Total,Total,c00_infant_mortality,21352,0.674,75,Total,1
Almere,Total,Total,Single Parent,Total,c00_infant_mortality,3387,0.59,44,Total,1
Almere,Total,Total,Two Parents,Total,c00_infant_mortality,17835,0.673,82,Total,1
Almere,Total,No Migration Background,Total,Total,c00_infant_mortality,9336,0.696,85,Total,1
Almere,Total,No Migration Background,Two Parents,Total,c00_infant_mortality,8496,0.718,89,Total,1
Almere,Total,Morocco,Total,Total,c00_infant_mortality,1529,0.654,64,Total,1
Almere,Total,Morocco,Two Parents,Total,c00_infant_mortality,1379,0.725,67,Total,1
Almere,Total,Suriname,Total,Total,c00_infant_mortality,3395,0.707,65,Total,1
Almere,Total,Suriname,Two Parents,Total,c00_infant_mortality,2152,0.697,78,Total,1
Almere,Total,With Migration Background,Total,Total,c00_infant_mortality,12016,0.657,68,Total,1
Almere,Total,With Migration Background,Single Parent,Total,c00_infant_mortality,2567,0.701,42,Total,1
Almere,Total,With Migration Background,Two Parents,Total,c00_infant_mortality,9339,0.632,75,Total,1
Almere,Men,Total,Total,Total,c00_infant_mortality,10926,0.751,75,Total,1
Almere,Men,Total,Single Parent,Total,c00_infant_mortality,1732,0.751,44,Total,1
Almere,Men,Total,Two Parents,Total,c00_infant_mortality,9127,0.734,82,Total,1
Almere,Men,No Migration Background,Total,Total,c00_infant_mortality,4844,0.702,85,Total,1
Almere,Men,No Migration Background,Two Parents,Total,c00_infant_mortality,4392,0.729,88,Total,1
Almere,Men,Suriname,Total,Total,c00_infant_mortality,1700,1.059,66,Total,1
Almere,Men,Suriname,Two Parents,Total,c00_infant_mortality,1072,1.119,78,Total,1
Almere,Men,With Migration Background,Total,Total,c00_infant_mortality,6082,0.789,68,Total,1
Almere,Men,With Migration Background,Single Parent,Total,c00_infant_mortality,1291,0.93,42,Total,1
Almere,Men,With Migration Background,Two Parents,Total,c00_infant_mortality,4735,0.739,75,Total,1
Almere,Women,Total,Total,Total,c00_infant_mortality,10426,0.595,75,Total,1
Almere,Women,Total,Two Parents,Total,c00_infant_mortality,8708,0.609,82,Total,1
Almere,Women,No Migration Background,Total,Total,c00_infant_mortality,4492,0.69,86,Total,1
Almere,Women,No Migration Background,Two Parents,Total,c00_infant_mortality,4104,0.707,89,Total,1
Almere,Women,With Migration Background,Total,Total,c00_infant_mortality,5934,0.522,68,Total,1
Almere,Women,With Migration Background,Two Parents,Total,c00_infant_mortality,4604,0.521,75,Total,1
Stadskanaal,Total,Total,Total,Total,c00_infant_mortality,2331,0.729,65,Total,1
Stadskanaal,Total,Total,Two Parents,Total,c00_infant_mortality,2185,0.686,67,Total,1
Stadskanaal,Total,No Migration Background,Total,Total,c00_infant_mortality,2041,0.637,67,Total,1
Stadskanaal,Total,No Migration Background,Two Parents,Total,c00_infant_mortality,1941,0.618,68,Total,1
Stadskanaal,Men,Total,Total,Total,c00_infant_mortality,1203,0.914,65,Total,1
Veendam,Total,Total,Total,Total,c00_infant_mortality,2336,0.685,66,Total,1
Veendam,Total,Total,Two Parents,Total,c00_infant_mortality,2173,0.598,68,Total,1
Veendam,Total,No Migration Background,Total,Total,c00_infant_mortality,1901,0.526,68,Total,1
Veendam,Men,Total,Total,Total,c00_infant_mortality,1183,0.93,66,Total,1
Zeewolde,Total,Total,Total,Total,c00_infant_mortality,1982,0.807,83,Total,1
Zeewolde,Total,Total,Two Parents,Total,c00_infant_mortality,1871,0.855,86,Total,1
Zeewolde,Total,No Migration Background,Total,Total,c00_infant_mortality,1551,0.903,86,Total,1
Zeewolde,Total,No Migration Background,Two Parents,Total,c00_infant_mortality,1492,0.938,88,Total,1
Achtkarspelen,Total,Total,Total,Total,c00_infant_mortality,2672,0.524,68,Total,1
Achtkarspelen,Total,Total,Two Parents,Total,c00_infant_mortality,2579,0.543,69,Total,1
Achtkarspelen,Total,No Migration Background,Total,Total,c00_infant_mortality,2533,0.513,68,Total,1
Achtkarspelen,Total,No Migration Background,Two Parents,Total,c00_infant_mortality,2446,0.531,69,Total,1
Heerenveen,Total,Total,Total,Total,c00_infant_mortality,4407,0.703,78,Total,1
Heerenveen,Total,Total,Two Parents,Total,c00_infant_mortality,4171,0.695,80,Total,1
Heerenveen,Total,No Migration Background,Total,Total,c00_infant_mortality,3636,0.77,80,Total,1
Heerenveen,Total,No Migration Background,Two Parents,Total,c00_infant_mortality,3501,0.743,82,Total,1
Heerenveen,Men,Total,Total,Total,c00_infant_mortality,2272,0.528,78,Total,1
Heerenveen,Men,Total,Two Parents,Total,c00_infant_mortality,2156,0.464,79,Total,1
Heerenveen,Men,No Migration Background,Total,Total,c00_infant_mortality,1863,0.59,81,Total,1
Heerenveen,Women,Total,Total,Total,c00_infant_mortality,2135,0.89,78,Total,1
Heerenveen,Women,Total,Two Parents,Total,c00_infant_mortality,2015,0.943,81,Total,1
Heerenveen,Women,No Migration Background,Total,Total,c00_infant_mortality,1773,0.959,80,Total,1
Heerenveen,Women,No Migration Background,Two Parents,Total,c00_infant_mortality,1701,0.999,82,Total,1
Leeuwarden,Total,Total,Total,Total,c00_infant_mortality,11098,0.874,71,Total,1
Leeuwarden,Total,Total,Single Parent,Total,c00_infant_mortality,1175,1.021,37,Total,1
Leeuwarden,Total,Total,Two Parents,Total,c00_infant_mortality,9844,0.803,75,Total,1
Leeuwarden,Total,No Migration Background,Total,Total,c00_infant_mortality,8408,0.833,75,Total,1
Leeuwarden,Total,No Migration Background,Two Parents,Total,c00_infant_mortality,7740,0.775,78,Total,1
Leeuwarden,Total,With Migration Background,Total,Total,c00_infant_mortality,2690,1.004,56,Total,1
Leeuwarden,Total,With Migration Background,Two Parents,Total,c00_infant_mortality,2104,0.903,63,Total,1
Leeuwarden,Men,Total,Total,Total,c00_infant_mortality,5750,1.043,71,Total,1
Leeuwarden,Men,Total,Two Parents,Total,c00_infant_mortality,5086,0.944,76,Total,1
Leeuwarden,Men,No Migration Background,Total,Total,c00_infant_mortality,4323,1.018,76,Total,1
Leeuwarden,Men,No Migration Background,Two Parents,Total,c00_infant_mortality,3987,0.928,79,Total,1
Leeuwarden,Men,With Migration Background,Total,Total,c00_infant_mortality,1427,1.121,57,Total,1
Leeuwarden,Men,With Migration Background,Two Parents,Total,c00_infant_mortality,1099,1.001,64,Total,1
Leeuwarden,Women,Total,Total,Total,c00_infant_mortality,5348,0.692,70,Total,1
Leeuwarden,Women,Total,Two Parents,Total,c00_infant_mortality,4758,0.652,74,Total,1
Leeuwarden,Women,No Migration Background,Total,Total,c00_infant_mortality,4085,0.636,75,Total,1
Leeuwarden,Women,No Migration Background,Two Parents,Total,c00_infant_mortality,3753,0.613,77,Total,1
Leeuwarden,Women,With Migration Background,Total,Total,c00_infant_mortality,1263,0.871,56,Total,1
Opsterland,Total,Total,Total,Total,c00_infant_mortality,2218,0.721,77,Total,1
Opsterland,Total,Total,Two Parents,Total,c00_infant_mortality,2125,0.659,79,Total,1
Opsterland,Total,No Migration Background,Total,Total,c00_infant_mortality,2016,0.744,78,Total,1
Opsterland,Total,No Migration Background,Two Parents,Total,c00_infant_mortality,1953,0.717,79,Total,1
Opsterland,Men,Total,Total,Total,c00_infant_mortality,1135,0.881,78,Total,1
Smallingerland,Total,Total,Total,Total,c00_infant_mortality,5042,0.694,69,Total,1
Smallingerland,Total,Total,Two Parents,Total,c00_infant_mortality,4673,0.621,71,Total,1
Smallingerland,Total,No Migration Background,Total,Total,c00_infant_mortality,4198,0.667,71,Total,1
Smallingerland,Total,No Migration Background,Two Parents,Total,c00_infant_mortality,3987,0.627,73,Total,1
Smallingerland,Men,Total,Total,Total,c00_infant_mortality,2609,0.728,69,Total,1
Smallingerland,Men,Total,Two Parents,Total,c00_infant_mortality,2421,0.62,72,Total,1
Smallingerland,Men,No Migration Background,Total,Total,c00_infant_mortality,2184,0.641,71,Total,1
Smallingerland,Men,No Migration Background,Two Parents,Total,c00_infant_mortality,2080,0.625,73,Total,1
Smallingerland,Women,Total,Total,Total,c00_infant_mortality,2433,0.658,68,Total,1
