geografie,geslacht,migratieachtergrond,huishouden,bins,uitkomst,N,mean,parents_income,opleiding_ouders,type
Groningen,Totaal,Totaal,Totaal,0% - 10%,c00_infant_mortality,1962,1.223,22,Totaal,10
Groningen,Totaal,Totaal,Totaal,10% - 20%,c00_infant_mortality,1962,0.866,33,Totaal,10
Groningen,Totaal,Totaal,Totaal,20% - 30%,c00_infant_mortality,1962,1.121,45,Totaal,10
Groningen,Totaal,Totaal,Totaal,30% - 40%,c00_infant_mortality,1960,0.612,58,Totaal,10
Groningen,Totaal,Totaal,Totaal,40% - 50%,c00_infant_mortality,1960,0.561,69,Totaal,10
Groningen,Totaal,Totaal,Totaal,50% - 60%,c00_infant_mortality,1960,0.867,79,Totaal,10
Groningen,Totaal,Totaal,Totaal,60% - 70%,c00_infant_mortality,1960,0.663,91,Totaal,10
Groningen,Totaal,Totaal,Totaal,70% - 80%,c00_infant_mortality,1960,0.663,105,Totaal,10
Groningen,Totaal,Totaal,Totaal,80% - 90%,c00_infant_mortality,1960,0.612,125,Totaal,10
Groningen,Totaal,Totaal,Totaal,90% - 100%,c00_infant_mortality,1960,0.714,185,Totaal,10
Utrecht,Totaal,Totaal,Totaal,0% - 10%,c00_infant_mortality,4218,0.853,26,Totaal,10
Utrecht,Totaal,Totaal,Totaal,10% - 20%,c00_infant_mortality,4218,0.545,44,Totaal,10
Utrecht,Totaal,Totaal,Totaal,20% - 30%,c00_infant_mortality,4218,0.64,60,Totaal,10
Utrecht,Totaal,Totaal,Totaal,30% - 40%,c00_infant_mortality,4218,0.664,74,Totaal,10
Utrecht,Totaal,Totaal,Totaal,40% - 50%,c00_infant_mortality,4217,0.569,87,Totaal,10
Utrecht,Totaal,Totaal,Totaal,50% - 60%,c00_infant_mortality,4216,0.569,100,Totaal,10
Utrecht,Totaal,Totaal,Totaal,60% - 70%,c00_infant_mortality,4216,0.83,114,Totaal,10
Utrecht,Totaal,Totaal,Totaal,70% - 80%,c00_infant_mortality,4216,0.569,131,Totaal,10
Utrecht,Totaal,Totaal,Totaal,80% - 90%,c00_infant_mortality,4216,0.474,154,Totaal,10
Utrecht,Totaal,Totaal,Totaal,90% - 100%,c00_infant_mortality,4216,0.403,222,Totaal,10
Utrecht,Totaal,Totaal,Tweeoudergezin,0% - 10%,c00_infant_mortality,3896,0.796,30,Totaal,10
Utrecht,Totaal,Totaal,Tweeoudergezin,10% - 20%,c00_infant_mortality,3896,0.616,50,Totaal,10
Utrecht,Totaal,Totaal,Tweeoudergezin,20% - 30%,c00_infant_mortality,3895,0.59,65,Totaal,10
Utrecht,Totaal,Totaal,Tweeoudergezin,30% - 40%,c00_infant_mortality,3894,0.668,78,Totaal,10
