geografie,geslacht,migratieachtergrond,huishouden,bins,uitkomst,N,mean,parents_income,opleiding_ouders,type
Groningen,Totaal,Totaal,Totaal,0% - 5%,c00_preterm_birth,974,6.674,18,Totaal,20
Groningen,Totaal,Totaal,Totaal,5% - 10%,c00_preterm_birth,974,7.906,26,Totaal,20
Groningen,Totaal,Totaal,Totaal,10% - 15%,c00_preterm_birth,974,7.084,30,Totaal,20
Groningen,Totaal,Totaal,Totaal,15% - 20%,c00_preterm_birth,974,7.495,36,Totaal,20
Groningen,Totaal,Totaal,Totaal,20% - 25%,c00_preterm_birth,974,7.29,42,Totaal,20
Groningen,Totaal,Totaal,Totaal,25% - 30%,c00_preterm_birth,974,6.571,49,Totaal,20
Groningen,Totaal,Totaal,Totaal,30% - 35%,c00_preterm_birth,974,6.674,55,Totaal,20
Groningen,Totaal,Totaal,Totaal,35% - 40%,c00_preterm_birth,974,6.571,60,Totaal,20
Groningen,Totaal,Totaal,Totaal,40% - 45%,c00_preterm_birth,974,7.084,66,Totaal,20
Groningen,Totaal,Totaal,Totaal,45% - 50%,c00_preterm_birth,974,5.133,71,Totaal,20
Groningen,Totaal,Totaal,Totaal,50% - 55%,c00_preterm_birth,974,5.852,76,Totaal,20
Groningen,Totaal,Totaal,Totaal,55% - 60%,c00_preterm_birth,974,7.906,82,Totaal,20
Groningen,Totaal,Totaal,Totaal,60% - 65%,c00_preterm_birth,974,5.544,88,Totaal,20
Groningen,Totaal,Totaal,Totaal,65% - 70%,c00_preterm_birth,974,6.776,94,Totaal,20
Groningen,Totaal,Totaal,Totaal,70% - 75%,c00_preterm_birth,974,5.852,101,Totaal,20
Groningen,Totaal,Totaal,Totaal,75% - 80%,c00_preterm_birth,974,7.495,109,Totaal,20
Groningen,Totaal,Totaal,Totaal,80% - 85%,c00_preterm_birth,974,6.263,119,Totaal,20
Groningen,Totaal,Totaal,Totaal,85% - 90%,c00_preterm_birth,974,6.16,131,Totaal,20
Groningen,Totaal,Totaal,Totaal,90% - 95%,c00_preterm_birth,974,6.468,149,Totaal,20
