geografie,geslacht,migratieachtergrond,huishouden,bins,uitkomst,N,mean,parents_income,opleiding_ouders,type,uitkomst_NL,subgroep,sample,sd
Groningen,Totaal,Totaal,Totaal,0% - 20%,c00_infant_mortality,3924,1.04485219164118,27.3598650633095,Totaal,5,Zuigelingensterfte,NA,NA,NA
Groningen,Totaal,Totaal,Totaal,20% - 40%,c00_infant_mortality,3922,0.866774844494373,51.4948233090949,Totaal,5,Zuigelingensterfte,NA,NA,NA
Groningen,Totaal,Totaal,Totaal,40% - 60%,c00_infant_mortality,3920,0.714285714285714,73.9324507698598,Totaal,5,Zuigelingensterfte,NA,NA,NA
Groningen,Totaal,Totaal,Totaal,60% - 80%,c00_infant_mortality,3920,0.663265306122449,98.1250819985234,Totaal,5,Zuigelingensterfte,NA,NA,NA
Groningen,Totaal,Totaal,Totaal,80% - 100%,c00_infant_mortality,3920,0.663265306122449,154.940825527195,Totaal,5,Zuigelingensterfte,NA,NA,NA
Groningen,Totaal,Totaal,Tweeoudergezin,0% - 20%,c00_infant_mortality,3432,1.01981351981352,33.4131531053996,Totaal,5,Zuigelingensterfte,NA,NA,NA
Groningen,Totaal,Totaal,Tweeoudergezin,20% - 40%,c00_infant_mortality,3432,0.728438228438228,59.5025074224672,Totaal,5,Zuigelingensterfte,NA,NA,NA
Groningen,Totaal,Totaal,Tweeoudergezin,40% - 60%,c00_infant_mortality,3432,0.786713286713287,79.8766938445633,Totaal,5,Zuigelingensterfte,NA,NA,NA
Groningen,Totaal,Totaal,Tweeoudergezin,60% - 80%,c00_infant_mortality,3428,0.641773628938156,102.989441117587,Totaal,5,Zuigelingensterfte,NA,NA,NA
Groningen,Totaal,Totaal,Tweeoudergezin,80% - 100%,c00_infant_mortality,3428,0.641773628938156,159.705813934271,Totaal,5,Zuigelingensterfte,NA,NA,NA
Groningen,Totaal,Zonder migratieachtergrond,Totaal,0% - 20%,c00_infant_mortality,2768,0.939306358381503,33.4716610639836,Totaal,5,Zuigelingensterfte,NA,NA,NA
Groningen,Totaal,Zonder migratieachtergrond,Totaal,20% - 40%,c00_infant_mortality,2768,0.830924855491329,60.6699139886243,Totaal,5,Zuigelingensterfte,NA,NA,NA
