geografie,geslacht,migratieachtergrond,huishouden,bins,uitkomst,N,mean,parents_income,opleiding_ouders,type
Groningen,Totaal,Totaal,Totaal,Totaal,c00_infant_mortality,19606,0.791,81,Totaal,1
Groningen,Totaal,Totaal,Eenoudergezin,Totaal,c00_infant_mortality,2402,0.791,40,Totaal,1
Groningen,Totaal,Totaal,Tweeoudergezin,Totaal,c00_infant_mortality,17152,0.764,87,Totaal,1
Groningen,Totaal,Zonder migratieachtergrond,Totaal,Totaal,c00_infant_mortality,13831,0.781,87,Totaal,1
Groningen,Totaal,Zonder migratieachtergrond,Tweeoudergezin,Totaal,c00_infant_mortality,12671,0.789,91,Totaal,1
Groningen,Totaal,Overig,Totaal,Totaal,c00_infant_mortality,4191,0.764,71,Totaal,1
Groningen,Totaal,Overig,Tweeoudergezin,Totaal,c00_infant_mortality,3466,0.635,79,Totaal,1
Groningen,Totaal,Wel migratieachtergrond,Totaal,Totaal,c00_infant_mortality,5775,0.814,66,Totaal,1
Groningen,Totaal,Wel migratieachtergrond,Eenoudergezin,Totaal,c00_infant_mortality,1269,1.024,35,Totaal,1
Groningen,Totaal,Wel migratieachtergrond,Tweeoudergezin,Totaal,c00_infant_mortality,4481,0.692,75,Totaal,1
Groningen,Mannen,Totaal,Totaal,Totaal,c00_infant_mortality,9990,0.801,81,Totaal,1
Groningen,Mannen,Totaal,Eenoudergezin,Totaal,c00_infant_mortality,1253,0.798,39,Totaal,1
Groningen,Mannen,Totaal,Tweeoudergezin,Totaal,c00_infant_mortality,8706,0.747,88,Totaal,1
Groningen,Mannen,Zonder migratieachtergrond,Totaal,Totaal,c00_infant_mortality,7077,0.777,88,Totaal,1
Groningen,Mannen,Zonder migratieachtergrond,Tweeoudergezin,Totaal,c00_infant_mortality,6461,0.789,92,Totaal,1
Groningen,Mannen,Overig,Totaal,Totaal,c00_infant_mortality,2146,0.792,72,Totaal,1
Groningen,Mannen,Overig,Tweeoudergezin,Totaal,c00_infant_mortality,1754,0.627,80,Totaal,1
Groningen,Mannen,Wel migratieachtergrond,Totaal,Totaal,c00_infant_mortality,2913,0.858,66,Totaal,1
Groningen,Mannen,Wel migratieachtergrond,Tweeoudergezin,Totaal,c00_infant_mortality,2245,0.624,76,Totaal,1
